stars,Alcohol,BikeParking,BusinessAcceptsCreditCards,BusinessParking,DogsAllowed,GoodForKids,HasTV,NoiseLevel,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WiFi
3.37254902,0,1,0,1,0,1,1,1,1,-1,1,2,-1,1,1,-1
2.714285714,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,2
2.44,0,1,1,1,0,1,-1,1,1,1,1,2,-1,0,1,2
3.522727273,2,1,0,1,0,1,1,1,1,-1,1,2,1,1,1,2
3.875,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2
2.734939759,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,-1
4.4,0,1,0,0,0,1,-1,0,-1,-1,1,2,-1,-1,1,2
2.864864865,0,-1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,2
1.833333333,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2
3.928571429,2,0,0,1,0,1,-1,2,-1,-1,1,1,-1,0,1,-1
2.611111111,0,1,1,0,0,1,-1,2,-1,-1,1,1,-1,0,1,-1
4.909090909,0,1,1,1,-1,1,-1,0,-1,-1,1,2,-1,1,-1,2
3.823529412,0,1,0,1,0,1,0,0,1,-1,1,2,-1,1,1,0
3.514563107,2,1,0,1,0,-1,-1,1,-1,-1,1,2,1,0,-1,-1
3.870229008,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,-1
4.17,0,1,1,1,0,1,-1,1,-1,-1,1,2,-1,0,1,2
3.387096774,2,1,0,1,0,1,-1,1,-1,0,1,2,1,1,1,-1
3.808080808,2,1,1,1,0,1,-1,1,1,-1,1,2,1,0,1,-1
3.485355649,2,1,1,1,0,1,1,1,1,-1,1,1,-1,1,1,2
3.770833333,0,1,1,1,0,1,-1,1,1,-1,1,2,-1,0,1,2
3.452586207,2,1,1,1,0,1,1,1,1,-1,1,1,-1,0,1,2
3.277777778,0,0,0,0,0,-1,-1,0,1,-1,-1,2,-1,0,1,2
3.420382166,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,1,1,-1
3.928571429,0,1,1,0,0,1,1,1,1,-1,1,1,-1,0,1,-1
3.813822285,1,1,1,1,0,1,1,-1,-1,-1,1,1,-1,1,1,-1
3.541958042,1,1,1,1,0,1,-1,1,1,-1,1,2,-1,1,1,2
2.75,0,0,1,1,0,1,-1,1,-1,-1,1,2,-1,0,1,2
4.75,0,1,0,1,1,0,-1,0,-1,-1,0,0,1,1,1,2
3.527272727,0,1,1,1,0,1,1,1,-1,-1,1,1,-1,0,1,2
4.070110701,0,1,1,1,0,1,-1,1,1,-1,1,1,-1,0,1,2
4.047138047,0,1,1,1,0,1,-1,1,1,-1,1,1,-1,1,1,-1
2.925,1,0,0,1,0,1,-1,-1,-1,-1,1,2,1,0,1,0
3.158823529,0,1,1,1,0,1,-1,1,1,-1,1,1,-1,-1,1,2
2.933333333,0,1,0,0,0,1,0,1,1,0,1,2,1,0,1,1
4.016726404,0,1,1,1,0,1,1,1,-1,-1,1,1,-1,0,1,-1
2.935483871,0,1,1,0,0,1,1,1,1,-1,-1,1,-1,1,1,-1
3.857142857,2,1,1,1,0,-1,1,1,1,-1,1,2,1,0,1,2
3.75,0,0,1,0,0,1,0,0,0,0,1,0,-1,0,0,0
5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2
3.888888889,2,0,0,1,0,1,0,1,1,-1,-1,2,1,0,1,-1
3.652542373,0,1,-1,1,0,1,-1,1,-1,-1,-1,2,-1,1,1,-1
2.666666667,0,0,0,0,0,0,0,0,0,-1,0,3,1,0,-1,2
3.333333333,0,-1,0,0,0,1,-1,2,-1,-1,1,4,1,0,-1,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.583333333,0,1,1,0,0,1,-1,1,-1,-1,1,1,-1,-1,1,-1
3.769230769,1,0,0,0,0,1,1,1,1,1,1,2,-1,-1,1,2
3.535714286,0,0,1,0,0,1,1,1,1,-1,1,2,-1,1,1,2
4.623376623,0,1,1,1,0,1,1,2,1,-1,1,1,-1,-1,1,-1
4.333333333,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,1,0
3.818996416,2,1,1,1,0,-1,-1,1,-1,-1,1,2,1,1,1,2
3.5,0,1,1,1,0,1,-1,2,1,-1,1,1,-1,0,1,-1
3.639344262,0,1,1,1,0,1,-1,1,-1,-1,1,2,-1,0,1,-1
4.166666667,0,1,1,0,0,1,0,0,-1,-1,1,2,-1,0,1,-1
3,1,1,1,1,0,1,-1,1,-1,-1,1,1,-1,1,-1,2
3,0,1,0,0,0,1,-1,-1,0,-1,1,2,1,0,-1,0
2.456521739,0,1,0,1,0,1,-1,1,-1,-1,1,2,1,1,1,-1
3,1,1,0,0,0,1,-1,0,-1,1,1,2,-1,0,1,2
4.042553191,0,1,1,1,0,1,1,1,-1,-1,1,1,1,0,1,2
3.1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
4.5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2
2.666666667,0,1,1,1,0,1,-1,-1,1,-1,1,1,-1,0,1,2
3.210526316,0,1,1,1,0,1,-1,1,1,-1,1,1,-1,0,1,-1
4.851851852,0,1,1,1,0,1,-1,0,1,1,1,1,-1,-1,1,2
2,1,0,0,0,0,1,1,1,-1,1,1,2,-1,0,1,-1
4.565217391,0,1,1,1,0,1,-1,2,1,-1,-1,2,-1,1,1,2
3.833333333,0,1,1,0,0,0,0,0,-1,0,0,3,0,0,-1,-1
4.588235294,0,0,0,1,0,1,0,0,1,-1,-1,2,-1,0,1,0
4.430769231,0,1,1,1,0,1,-1,1,1,-1,1,1,-1,0,1,2
5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2.80952381,0,1,1,0,0,1,-1,1,1,-1,1,1,-1,-1,1,2
3.8,0,0,0,0,0,1,0,0,0,-1,1,2,0,0,0,0
3.663551402,1,1,1,1,0,1,1,1,1,1,1,1,-1,0,1,2
2.703703704,0,-1,0,1,0,1,-1,1,-1,-1,1,2,-1,1,1,2
3.6,0,1,1,1,0,1,-1,2,-1,-1,1,1,-1,0,1,-1
3.674418605,0,0,1,0,0,1,-1,0,-1,0,-1,2,-1,0,1,2
3.857142857,0,1,0,0,0,1,1,0,-1,0,0,1,-1,1,0,0
4.162162162,0,1,0,0,0,1,1,0,1,0,-1,2,-1,-1,1,0
4.42,0,1,0,1,0,1,-1,1,1,-1,-1,1,-1,-1,1,-1
3.885714286,0,1,1,1,0,1,-1,1,-1,-1,-1,1,-1,-1,1,2
4.461538462,2,1,0,0,0,1,1,1,1,-1,1,2,-1,1,1,2
4.057471264,2,1,1,1,0,-1,1,1,-1,-1,1,1,-1,0,1,2
3.5,0,0,1,0,0,1,1,2,-1,-1,1,1,-1,1,1,-1
4.393518519,2,1,1,1,-1,1,1,1,1,-1,1,2,-1,-1,1,2
3.957219251,0,1,1,1,0,1,-1,1,1,-1,1,1,-1,0,1,2
2.729411765,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,-1
4.25,0,0,0,1,0,0,0,0,0,-1,0,0,1,1,1,-1
3.153846154,0,1,0,0,0,1,-1,1,-1,-1,1,2,-1,1,1,0
3.263157895,0,-1,1,0,0,1,-1,-1,-1,-1,1,2,-1,0,1,2
4.75862069,0,-1,1,1,0,1,-1,2,-1,-1,-1,1,-1,0,1,2
2.75,0,1,1,0,0,-1,1,0,-1,-1,1,1,-1,0,1,2
3.558823529,1,0,1,0,0,1,1,1,1,-1,1,2,-1,0,1,0
2.16,0,-1,1,0,0,1,-1,0,-1,-1,1,2,-1,0,1,-1
2.68,0,1,1,1,0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1
3.5,2,1,1,0,0,1,1,1,1,-1,1,2,-1,0,1,0
4.195652174,2,1,0,1,-1,1,-1,1,1,-1,1,2,-1,1,1,-1
4.111111111,0,0,1,0,0,1,-1,2,-1,-1,1,1,-1,0,1,-1
3.665024631,2,1,1,1,0,1,1,1,1,-1,1,2,1,0,1,2
3.6,0,1,0,0,0,1,0,1,0,-1,1,2,-1,0,1,0
4.614213198,0,1,1,0,0,1,1,1,1,1,1,1,-1,-1,1,2
3,0,-1,-1,0,0,0,0,0,-1,0,0,1,0,0,0,-1
4.5,0,0,0,0,0,1,-1,0,-1,-1,1,2,-1,0,1,0
3.093922652,2,1,0,1,0,1,1,1,1,1,1,2,1,0,1,2
3.078947368,2,1,1,0,0,1,-1,2,-1,-1,1,2,1,1,1,2
3.75,0,1,1,0,0,1,1,1,-1,-1,1,1,-1,0,1,-1
3.541666667,0,1,1,1,0,1,-1,1,1,-1,1,1,-1,0,1,2
3.722222222,2,0,0,1,0,1,-1,1,1,-1,-1,2,0,0,1,2
3.639423077,2,1,1,1,0,1,1,1,1,-1,1,2,1,0,1,2
2.171428571,0,-1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,2
2.368421053,0,1,1,0,0,1,1,1,1,-1,1,2,-1,0,1,-1
3.333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.52,0,-1,1,1,0,1,0,0,1,-1,1,2,0,0,1,2
2.444444444,0,1,1,1,0,1,-1,1,-1,-1,1,2,-1,0,1,-1
3.60483871,2,1,1,1,0,1,1,1,1,-1,1,1,-1,-1,1,2
3.333333333,0,-1,0,1,0,1,-1,2,1,-1,1,2,-1,0,1,2
2.928571429,2,1,0,1,0,-1,-1,1,-1,-1,1,2,1,1,1,2
4.416666667,2,1,0,0,0,1,-1,2,-1,-1,-1,2,1,0,-1,0
4.186046512,2,1,1,1,0,1,1,1,1,-1,1,2,1,0,1,2
4,0,0,-1,0,0,0,-1,0,-1,-1,0,1,-1,0,-1,0
4.154639175,0,1,1,1,0,1,1,1,1,-1,1,2,1,0,1,2
4.75,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
4.636363636,0,1,1,1,-1,0,-1,0,-1,-1,0,0,-1,-1,1,2
3.796610169,1,1,1,1,0,1,1,1,1,1,1,2,-1,0,1,2
3.636363636,0,-1,0,0,0,1,-1,1,1,-1,-1,2,1,1,-1,0
4.754716981,2,1,1,1,-1,-1,1,1,1,-1,1,2,-1,1,1,2
